merkmal;rasse;basisdifferenz;basisbezeichnung
mkg;OB;629;OB21
fkg;OB;28;OB21
ekg;OB;21;OB21
epr;OB;-0.02;OB21
fpr;OB;0.04;OB21
per;OB;-4;OB21
scs;OB;-7;OB21
ndd;OB;-9;OB21
nrr;OB;-4;OB21
vzr;OB;-4;OB21
nrk;OB;-8;OB21
vzk;OB;-9;OB21
raz;OB;-4;OB21
tdd;OB;-12;OB21
ngd;OB;18;OB21
lgd;OB;-5;OB21
ggd;OB;-19;OB21
tdm;OB;-2;OB21
ngm;OB;4;OB21
lgm;OB;-5;OB21
ggm;OB;-8;OB21
wrhm;OB;19;OB21
belm;OB;4;OB21
ben;OB;-2;OB21
obl;OB;-19;OB21
bem;OB;-19;OB21
brb;OB;-7;OB21
lau;OB;1;OB21
kbhm;OB;23;OB21
fltm;OB;7;OB21
bebm;OB;-23;OB21
spw;OB;-11;OB21
spa;OB;13;OB21
fes;OB;-1;OB21
kla;OB;-5;OB21
lve;OB;19;OB21
ahb;OB;11;OB21
ahh;OB;4;OB21
avo;OB;6;OB21
eti;OB;1;OB21
zba;OB;7;OB21
eub;OB;6;OB21
zid;OB;-8;OB21
zla;OB;4;OB21
zvv;OB;11;OB21
zvh;OB;17;OB21
zst;OB;19;OB21
for;OB;5;OB21
gli_alt;OB;2;OB21
eut_alt;OB;11;OB21
zit;OB;-12;OB21
rah;OB;-2;OB21
bec;OB;-10;OB21
gli;OB;4;OB21
eut;OB;10;OB21
ges;OB;4;OB21
mbk;OB;-5;OB21
tem;OB;-1;OB21
mar;OB;-8;OB21
p1;OB;-2;OB21
hp2;OB;-3;OB21
bp2;OB;-13;OB21
ccc;OB;-18;OB21
cca;OB;-14;OB21
cwc;OB;2;OB21
cwa;OB;8;OB21
cfc;OB;3;OB21
cfa;OB;-4;OB21
ccn;OB;1;OB21
cwn;OB;1;OB21
cfn;OB;-7;OB21
