Geburtsjahr;Basis;mean_zw;Breed;Trait
1980;BS;105.56;BS;p1
1981;BS;105.92;BS;p1
1982;BS;107.32;BS;p1
1983;BS;107.14;BS;p1
1984;BS;107.7;BS;p1
1985;BS;108.2;BS;p1
1986;BS;107.69;BS;p1
1987;BS;101.75;BS;p1
1988;BS;102.79;BS;p1
1989;BS;102.86;BS;p1
1990;BS;102.46;BS;p1
1991;BS;102.05;BS;p1
1992;BS;101.69;BS;p1
1993;BS;101.58;BS;p1
1994;BS;101.48;BS;p1
1995;BS;101.46;BS;p1
1996;BS;101.35;BS;p1
1997;BS;100.7;BS;p1
1998;BS;99.56;BS;p1
1999;BS;99.51;BS;p1
2000;BS;99.47;BS;p1
2001;BS;99.13;BS;p1
2002;BS;98.94;BS;p1
2003;BS;98.9;BS;p1
2004;BS;98.62;BS;p1
2005;BS;99.14;BS;p1
2006;BS;98.92;BS;p1
2007;BS;98.58;BS;p1
2008;BS;98.76;BS;p1
2009;BS;99.07;BS;p1
2010;BS;99.06;BS;p1
2011;BS;99.53;BS;p1
2012;BS;100.06;BS;p1
2013;BS;100.28;BS;p1
2014;BS;99.82;BS;p1
2015;BS;100.27;BS;p1
2016;BS;99.92;BS;p1
2017;BS;100.36;BS;p1
2018;BS;99.97;BS;p1
2019;BS;99.94;BS;p1
2020;BS;99.59;BS;p1
2021;BS;100.1;BS;p1
2022;BS;100.22;BS;p1
1980;OB;101.63;OB;p1
1981;OB;101.81;OB;p1
1982;OB;101.65;OB;p1
1983;OB;101.64;OB;p1
1984;OB;101.48;OB;p1
1985;OB;101.68;OB;p1
1986;OB;102;OB;p1
1987;OB;102.21;OB;p1
1988;OB;101.78;OB;p1
1989;OB;101.63;OB;p1
1990;OB;100.95;OB;p1
1991;OB;99.06;OB;p1
1992;OB;99.27;OB;p1
1993;OB;98.99;OB;p1
1994;OB;98.81;OB;p1
1995;OB;98.9;OB;p1
1996;OB;99.31;OB;p1
1997;OB;99.27;OB;p1
1998;OB;98.88;OB;p1
1999;OB;99.19;OB;p1
2000;OB;99.1;OB;p1
2001;OB;99.36;OB;p1
2002;OB;99.85;OB;p1
2003;OB;99.82;OB;p1
2004;OB;99.82;OB;p1
2005;OB;100.22;OB;p1
2006;OB;100.32;OB;p1
2007;OB;100.76;OB;p1
2008;OB;100.45;OB;p1
2009;OB;100.48;OB;p1
2010;OB;100.54;OB;p1
2011;OB;100.37;OB;p1
2012;OB;100.36;OB;p1
2013;OB;100.73;OB;p1
2014;OB;100.29;OB;p1
2015;OB;100.46;OB;p1
2016;OB;100.69;OB;p1
2017;OB;101.03;OB;p1
2018;OB;100.95;OB;p1
2019;OB;101.11;OB;p1
2020;OB;100.96;OB;p1
2021;OB;101.19;OB;p1
2022;OB;101.07;OB;p1
1980;BS;100.63;BS;hp2
1981;BS;100.6;BS;hp2
1982;BS;101.38;BS;hp2
1983;BS;101.69;BS;hp2
1984;BS;102.03;BS;hp2
1985;BS;102.22;BS;hp2
1986;BS;102.1;BS;hp2
1987;BS;98.39;BS;hp2
1988;BS;98.65;BS;hp2
1989;BS;98.49;BS;hp2
1990;BS;97.75;BS;hp2
1991;BS;97.61;BS;hp2
1992;BS;98.24;BS;hp2
1993;BS;97.94;BS;hp2
1994;BS;92.81;BS;hp2
1995;BS;94.55;BS;hp2
1996;BS;95.73;BS;hp2
1997;BS;95.14;BS;hp2
1998;BS;95.13;BS;hp2
1999;BS;95.76;BS;hp2
2000;BS;95.91;BS;hp2
2001;BS;95.4;BS;hp2
2002;BS;95.07;BS;hp2
2003;BS;95.37;BS;hp2
2004;BS;95.76;BS;hp2
2005;BS;95.86;BS;hp2
2006;BS;97.12;BS;hp2
2007;BS;97.05;BS;hp2
2008;BS;98.14;BS;hp2
2009;BS;97.92;BS;hp2
2010;BS;98.46;BS;hp2
2011;BS;98.82;BS;hp2
2012;BS;98.92;BS;hp2
2013;BS;98.97;BS;hp2
2014;BS;99.53;BS;hp2
2015;BS;100.03;BS;hp2
2016;BS;100.47;BS;hp2
2017;BS;100.78;BS;hp2
2018;BS;100.88;BS;hp2
2019;BS;101.54;BS;hp2
2020;BS;101.77;BS;hp2
2021;BS;101.77;BS;hp2
2022;BS;102.11;BS;hp2
1980;OB;93.16;OB;hp2
1981;OB;94.71;OB;hp2
1982;OB;93.15;OB;hp2
1983;OB;94.48;OB;hp2
1984;OB;95.09;OB;hp2
1985;OB;94.73;OB;hp2
1986;OB;96.03;OB;hp2
1987;OB;97.12;OB;hp2
1988;OB;96.98;OB;hp2
1989;OB;96.48;OB;hp2
1990;OB;92.61;OB;hp2
1991;OB;92.1;OB;hp2
1992;OB;93.23;OB;hp2
1993;OB;93.09;OB;hp2
1994;OB;93.17;OB;hp2
1995;OB;93.34;OB;hp2
1996;OB;94.14;OB;hp2
1997;OB;94.3;OB;hp2
1998;OB;94.18;OB;hp2
1999;OB;94.88;OB;hp2
2000;OB;95.07;OB;hp2
2001;OB;95.41;OB;hp2
2002;OB;95.62;OB;hp2
2003;OB;96.09;OB;hp2
2004;OB;96.3;OB;hp2
2005;OB;96.32;OB;hp2
2006;OB;96.95;OB;hp2
2007;OB;97.47;OB;hp2
2008;OB;97.52;OB;hp2
2009;OB;97.99;OB;hp2
2010;OB;98.54;OB;hp2
2011;OB;99;OB;hp2
2012;OB;99.19;OB;hp2
2013;OB;99.57;OB;hp2
2014;OB;99.73;OB;hp2
2015;OB;100.2;OB;hp2
2016;OB;100.58;OB;hp2
2017;OB;100.26;OB;hp2
2018;OB;100.02;OB;hp2
2019;OB;100.16;OB;hp2
2020;OB;100.25;OB;hp2
2021;OB;100.48;OB;hp2
2022;OB;100.56;OB;hp2
1980;BS;103.5;BS;bp2
1981;BS;103.98;BS;bp2
1982;BS;104.75;BS;bp2
1983;BS;105.06;BS;bp2
1984;BS;104.96;BS;bp2
1985;BS;104.61;BS;bp2
1986;BS;104.68;BS;bp2
1987;BS;102.44;BS;bp2
1988;BS;102.99;BS;bp2
1989;BS;102.39;BS;bp2
1990;BS;101.7;BS;bp2
1991;BS;102.02;BS;bp2
1992;BS;102.04;BS;bp2
1993;BS;101.93;BS;bp2
1994;BS;100.77;BS;bp2
1995;BS;101.62;BS;bp2
1996;BS;102.04;BS;bp2
1997;BS;101.15;BS;bp2
1998;BS;100.69;BS;bp2
1999;BS;100.89;BS;bp2
2000;BS;100.41;BS;bp2
2001;BS;99.87;BS;bp2
2002;BS;99.47;BS;bp2
2003;BS;99.68;BS;bp2
2004;BS;99.57;BS;bp2
2005;BS;99.55;BS;bp2
2006;BS;100.28;BS;bp2
2007;BS;100.14;BS;bp2
2008;BS;100.74;BS;bp2
2009;BS;100.35;BS;bp2
2010;BS;99.84;BS;bp2
2011;BS;99.99;BS;bp2
2012;BS;100.23;BS;bp2
2013;BS;99.97;BS;bp2
2014;BS;99.77;BS;bp2
2015;BS;99.7;BS;bp2
2016;BS;100.55;BS;bp2
2017;BS;101.22;BS;bp2
2018;BS;101.49;BS;bp2
2019;BS;102.18;BS;bp2
2020;BS;102.5;BS;bp2
2021;BS;102.49;BS;bp2
2022;BS;102.8;BS;bp2
1980;OB;99.62;OB;bp2
1981;OB;97.69;OB;bp2
1982;OB;99.53;OB;bp2
1983;OB;98.08;OB;bp2
1984;OB;96.98;OB;bp2
1985;OB;97.32;OB;bp2
1986;OB;95.8;OB;bp2
1987;OB;94.29;OB;bp2
1988;OB;94.56;OB;bp2
1989;OB;94.97;OB;bp2
1990;OB;101.23;OB;bp2
1991;OB;100.31;OB;bp2
1992;OB;99;OB;bp2
1993;OB;99.02;OB;bp2
1994;OB;98.92;OB;bp2
1995;OB;98.75;OB;bp2
1996;OB;98.15;OB;bp2
1997;OB;97.85;OB;bp2
1998;OB;97.81;OB;bp2
1999;OB;97.64;OB;bp2
2000;OB;97.43;OB;bp2
2001;OB;97.13;OB;bp2
2002;OB;97.11;OB;bp2
2003;OB;96.73;OB;bp2
2004;OB;96.73;OB;bp2
2005;OB;96.95;OB;bp2
2006;OB;97.49;OB;bp2
2007;OB;97.91;OB;bp2
2008;OB;97.69;OB;bp2
2009;OB;98.19;OB;bp2
2010;OB;98.66;OB;bp2
2011;OB;98.77;OB;bp2
2012;OB;98.84;OB;bp2
2013;OB;99.15;OB;bp2
2014;OB;99.15;OB;bp2
2015;OB;99.71;OB;bp2
2016;OB;99.93;OB;bp2
2017;OB;99.95;OB;bp2
