Geburtsjahr;Basis;mean_zw;Breed;Trait
1980;BS;107.47;BS;nrr
1981;BS;108.27;BS;nrr
1982;BS;107.89;BS;nrr
1983;BS;107.57;BS;nrr
1984;BS;107.51;BS;nrr
1985;BS;106.63;BS;nrr
1986;BS;106.36;BS;nrr
1987;BS;106.86;BS;nrr
1988;BS;106.1;BS;nrr
1989;BS;105.55;BS;nrr
1990;BS;106.15;BS;nrr
1991;BS;105.73;BS;nrr
1992;BS;106.03;BS;nrr
1993;BS;104.9;BS;nrr
1994;BS;103.91;BS;nrr
1995;BS;103.1;BS;nrr
1996;BS;103.63;BS;nrr
1997;BS;103.82;BS;nrr
1998;BS;103.73;BS;nrr
1999;BS;103.67;BS;nrr
2000;BS;103.49;BS;nrr
2001;BS;103.34;BS;nrr
2002;BS;103.18;BS;nrr
2003;BS;102.16;BS;nrr
2004;BS;102.01;BS;nrr
2005;BS;102.69;BS;nrr
2006;BS;102.85;BS;nrr
2007;BS;102.02;BS;nrr
2008;BS;100.93;BS;nrr
2009;BS;100.3;BS;nrr
2010;BS;100;BS;nrr
2011;BS;100.08;BS;nrr
2012;BS;100.79;BS;nrr
2013;BS;100.38;BS;nrr
2014;BS;100.46;BS;nrr
2015;BS;100.01;BS;nrr
2016;BS;99.5;BS;nrr
2017;BS;99.1;BS;nrr
2018;BS;98.81;BS;nrr
2019;BS;98.5;BS;nrr
2020;BS;97.75;BS;nrr
2021;BS;98.8;BS;nrr
2022;BS;0;BS;nrr
1980;OB;104.43;OB;nrr
1981;OB;104.36;OB;nrr
1982;OB;104.32;OB;nrr
1983;OB;104.21;OB;nrr
1984;OB;104.32;OB;nrr
1985;OB;104.1;OB;nrr
1986;OB;103.62;OB;nrr
1987;OB;103.07;OB;nrr
1988;OB;103.38;OB;nrr
1989;OB;103.17;OB;nrr
1990;OB;103;OB;nrr
1991;OB;103.08;OB;nrr
1992;OB;102.93;OB;nrr
1993;OB;102.37;OB;nrr
1994;OB;101.98;OB;nrr
1995;OB;101.5;OB;nrr
1996;OB;101.55;OB;nrr
1997;OB;101.66;OB;nrr
1998;OB;101.59;OB;nrr
1999;OB;101.62;OB;nrr
2000;OB;101.67;OB;nrr
2001;OB;101.64;OB;nrr
2002;OB;101.53;OB;nrr
2003;OB;101.36;OB;nrr
2004;OB;101.48;OB;nrr
2005;OB;101.7;OB;nrr
2006;OB;101.22;OB;nrr
2007;OB;101.35;OB;nrr
2008;OB;101.09;OB;nrr
2009;OB;100.46;OB;nrr
2010;OB;100.2;OB;nrr
2011;OB;100.07;OB;nrr
2012;OB;100.3;OB;nrr
2013;OB;100.05;OB;nrr
2014;OB;99.93;OB;nrr
2015;OB;99.66;OB;nrr
2016;OB;99.08;OB;nrr
2017;OB;98.26;OB;nrr
2018;OB;97.86;OB;nrr
2019;OB;97.59;OB;nrr
2020;OB;97.15;OB;nrr
2021;OB;-4;OB;nrr
2022;OB;-4;OB;nrr
1980;BS;111.63;BS;vzr
1981;BS;111.61;BS;vzr
1982;BS;111.16;BS;vzr
1983;BS;109.47;BS;vzr
1984;BS;109.08;BS;vzr
1985;BS;108.48;BS;vzr
1986;BS;108.17;BS;vzr
1987;BS;108.52;BS;vzr
1988;BS;107.46;BS;vzr
1989;BS;106.63;BS;vzr
1990;BS;106.49;BS;vzr
1991;BS;105.53;BS;vzr
1992;BS;105.73;BS;vzr
1993;BS;104.7;BS;vzr
1994;BS;103.58;BS;vzr
1995;BS;102.51;BS;vzr
1996;BS;102.42;BS;vzr
1997;BS;102.11;BS;vzr
1998;BS;101.7;BS;vzr
1999;BS;101.26;BS;vzr
2000;BS;100.85;BS;vzr
2001;BS;100.23;BS;vzr
2002;BS;100.04;BS;vzr
2003;BS;99.97;BS;vzr
2004;BS;100.04;BS;vzr
2005;BS;100.37;BS;vzr
2006;BS;100.74;BS;vzr
2007;BS;100.23;BS;vzr
2008;BS;99.79;BS;vzr
2009;BS;99.45;BS;vzr
2010;BS;99.96;BS;vzr
2011;BS;99.6;BS;vzr
2012;BS;100.11;BS;vzr
2013;BS;100.41;BS;vzr
2014;BS;100.34;BS;vzr
2015;BS;99.98;BS;vzr
2016;BS;99.66;BS;vzr
2017;BS;99.1;BS;vzr
2018;BS;98.99;BS;vzr
2019;BS;98.71;BS;vzr
2020;BS;98.77;BS;vzr
2021;BS;97.07;BS;vzr
2022;BS;0;BS;vzr
1980;OB;111.09;OB;vzr
1981;OB;110.91;OB;vzr
1982;OB;110.79;OB;vzr
1983;OB;110.17;OB;vzr
1984;OB;109.38;OB;vzr
1985;OB;108.76;OB;vzr
1986;OB;109;OB;vzr
1987;OB;109.47;OB;vzr
1988;OB;108.24;OB;vzr
1989;OB;107.28;OB;vzr
1990;OB;106.68;OB;vzr
1991;OB;106.37;OB;vzr
1992;OB;106.14;OB;vzr
1993;OB;105.69;OB;vzr
1994;OB;104.69;OB;vzr
1995;OB;104.33;OB;vzr
1996;OB;104.24;OB;vzr
1997;OB;103.9;OB;vzr
1998;OB;103.8;OB;vzr
1999;OB;103.72;OB;vzr
2000;OB;103.65;OB;vzr
2001;OB;103.56;OB;vzr
2002;OB;103.36;OB;vzr
2003;OB;103.13;OB;vzr
2004;OB;103.09;OB;vzr
2005;OB;103.22;OB;vzr
2006;OB;102.75;OB;vzr
2007;OB;102.43;OB;vzr
2008;OB;102;OB;vzr
2009;OB;101.39;OB;vzr
2010;OB;101.38;OB;vzr
2011;OB;101.19;OB;vzr
2012;OB;101.29;OB;vzr
2013;OB;101.15;OB;vzr
2014;OB;100.47;OB;vzr
2015;OB;100.15;OB;vzr
2016;OB;99.75;OB;vzr
2017;OB;99.38;OB;vzr
2018;OB;99.21;OB;vzr
2019;OB;99.05;OB;vzr
2020;OB;98.69;OB;vzr
2021;OB;-4;OB;vzr
2022;OB;-4;OB;vzr
1980;BS;118.08;BS;nrk
1981;BS;118.18;BS;nrk
1982;BS;116.93;BS;nrk
1983;BS;115.46;BS;nrk
1984;BS;114.85;BS;nrk
1985;BS;113.48;BS;nrk
1986;BS;113.63;BS;nrk
1987;BS;113.04;BS;nrk
